dataset,comparison,protein,symbol,effect,pvalue,statistic
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, LP2",Dnajc6,DNAJC6,-1.2119581494510752,,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, LP2",Slc10a4,SLC10A4,-1.6004988761371208,0.023691655965895043,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, LP2",VMAT2,SLC18A2,-1.6735136172355733,0.018367034046909054,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Syngr1,SYNGR1,1.0310867006374134,0.14180239995020583,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Synaptophysin,SYP,0.9639711523807545,0.0010928554845689952,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",VGLUT2,SLC17A6,0.8989405917203092,0.001389483460203342,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",SV2B,SV2B,0.5299037796007612,0.025456336384280832,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Syngr3,SYNGR3,0.5007753217076901,0.47272338810064146,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",SV2A,SV2A,0.3995044103629519,0.27403676470726535,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Snap25,SNAP25,-0.2834288348437141,0.762243025148905,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",SV2C,SV2C,-0.4566901763761548,0.08227449525463265,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Synj1,SYNJ1,-0.6012132030572632,,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Dnajc6,DNAJC6,-1.311265768191268,,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",Slc10a4,SLC10A4,-1.6127251729444838,0.04432570088965922,uncorrected two-tailed p
Asmerian 2026,"VGLUT2+ / VMAT2+ vesicles, P4",VMAT2,SLC18A2,-1.943550438559426,0.058170732612151506,uncorrected two-tailed p
